epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,9642.43,1.06717,1.00782,1.24263,0.79136,0.66673,0.71716,0.56411,1.23649,1.23259,1.42395,0.0003268,0.0003268,0.0003268
70,9778.81,1.05927,1.00282,1.23949,0.73508,0.70281,0.72189,0.56997,1.23821,1.23692,1.42516,0.0003169,0.0003169,0.0003169
71,9918.05,1.06116,0.9967,1.23723,0.7721,0.68213,0.71538,0.56899,1.22176,1.24483,1.41841,0.000307,0.000307,0.000307
72,10055.2,1.03834,0.97148,1.22457,0.7782,0.68989,0.71809,0.56315,1.23762,1.25539,1.42207,0.0002971,0.0002971,0.0002971
73,10192,1.04145,0.96876,1.22485,0.75964,0.68797,0.71408,0.56406,1.23033,1.2464,1.42524,0.0002872,0.0002872,0.0002872
74,10329.7,1.03595,0.95395,1.21851,0.75718,0.70596,0.71755,0.56403,1.22777,1.23709,1.41373,0.0002773,0.0002773,0.0002773
75,10468.2,1.02767,0.95249,1.21458,0.73704,0.70917,0.71933,0.57186,1.22976,1.2427,1.41876,0.0002674,0.0002674,0.0002674
76,10610,1.02804,0.92411,1.2115,0.75695,0.69464,0.72167,0.56743,1.2336,1.24492,1.42803,0.0002575,0.0002575,0.0002575
77,10749.5,1.02491,0.92463,1.21352,0.78073,0.6825,0.7189,0.5673,1.23408,1.23152,1.41935,0.0002476,0.0002476,0.0002476
78,10889.3,1.00636,0.91564,1.20889,0.77746,0.69451,0.72161,0.56757,1.23472,1.23921,1.42448,0.0002377,0.0002377,0.0002377
79,11029.5,1.01011,0.90334,1.20199,0.80053,0.68202,0.7256,0.56842,1.23771,1.23161,1.4293,0.0002278,0.0002278,0.0002278
80,11167.6,1.0013,0.89598,1.19825,0.77749,0.69104,0.72006,0.56822,1.24459,1.24131,1.4438,0.0002179,0.0002179,0.0002179
81,11305.1,0.9909,0.88416,1.18789,0.7772,0.68075,0.72167,0.56537,1.2364,1.24564,1.43575,0.000208,0.000208,0.000208
82,11444.6,0.98923,0.88109,1.19447,0.78778,0.68195,0.72176,0.56792,1.24125,1.24071,1.43434,0.0001981,0.0001981,0.0001981
83,11583.7,0.98792,0.86992,1.18225,0.77767,0.68301,0.71574,0.56238,1.25121,1.25897,1.44493,0.0001882,0.0001882,0.0001882
84,11723.4,0.96743,0.85207,1.17554,0.78612,0.68449,0.71969,0.56551,1.24672,1.24453,1.43664,0.0001783,0.0001783,0.0001783
85,11861.9,0.97463,0.85558,1.18148,0.78563,0.67772,0.71611,0.56452,1.25854,1.23831,1.4521,0.0001684,0.0001684,0.0001684
86,12003.1,0.96825,0.83761,1.17051,0.76049,0.68831,0.71447,0.56008,1.25169,1.24867,1.43986,0.0001585,0.0001585,0.0001585
87,12142.1,0.96143,0.83665,1.16901,0.7626,0.68575,0.71354,0.56007,1.25931,1.24757,1.45416,0.0001486,0.0001486,0.0001486
88,12279.7,0.95759,0.83445,1.17143,0.77749,0.68575,0.72136,0.56456,1.2681,1.24455,1.46487,0.0001387,0.0001387,0.0001387
89,12418,0.95804,0.82789,1.16748,0.77357,0.69103,0.72031,0.56613,1.25554,1.25316,1.45388,0.0001288,0.0001288,0.0001288
90,12559.4,0.96004,0.8305,1.16682,0.76288,0.69749,0.72078,0.56531,1.26016,1.25044,1.456,0.0001189,0.0001189,0.0001189
91,12699.3,0.94616,0.75047,1.15192,0.79566,0.67675,0.71712,0.56134,1.27438,1.23862,1.47409,0.000109,0.000109,0.000109
92,12834.7,0.91503,0.70356,1.13466,0.76876,0.69061,0.71562,0.56272,1.25312,1.23863,1.45509,9.91e-05,9.91e-05,9.91e-05
93,12969.9,0.9014,0.67862,1.12598,0.78857,0.68523,0.71987,0.56523,1.2483,1.23859,1.44949,8.92e-05,8.92e-05,8.92e-05
94,13105.1,0.89304,0.67062,1.12057,0.77795,0.69197,0.71724,0.56491,1.24903,1.24548,1.45218,7.93e-05,7.93e-05,7.93e-05
95,13239.4,0.88027,0.64726,1.11213,0.78454,0.69486,0.71934,0.56473,1.25346,1.24645,1.45956,6.94e-05,6.94e-05,6.94e-05
